filename,size_bytes,size_mb,sha256,n_rows,timestamp_start,timestamp_end,overlap_days,overlapping_files
01.2021-06.2021.xlsx,5264451,5.021,7176cbb5275762fb8f7a8dfd96ae0f7f67598fabeadcb25e357cf2e4bfc69c8d,26208,2021-01-01 00:00:00,2021-12-06 23:50:00,,1.0
01.2022-06.2022.xlsx,5230154,4.988,8d4b077c4fea329dd2308f0d73fe024fa5e4760f6fa378150af424b7e7525746,26208,2022-01-01 00:00:00,2022-12-06 23:50:00,,2.0
01.2023-06.2023.xlsx,5245868,5.003,bce45e5c03e6d712a2b2a050d09a61de6b69ae8df20cb7452267a8dfb6db8ff7,26208,2023-01-01 00:00:00,2023-12-06 23:50:00,,2.0
01.2024-06.2024.xlsx,5274052,5.03,6ab8d8f006ba89b9742a0f051fd325d43c3b22c74d612a357734377ed7168d63,26352,2024-01-01 00:00:00,2024-12-06 23:50:00,,2.0
01.2025-06.2025.xlsx,5293752,5.049,90befc970dfd79db18eed9509aa89ff1c4c40cc34fef3eaddff1bd2dba197a0e,26208,2025-01-01 00:00:00,2025-12-06 23:50:00,,2.0
01.2026-07.2026.xlsx,5974319,5.698,3e8b7e6a587bd2264d359115096d7f8e697c50448897c63e8f9e742a8eb813e4,29503,2026-01-01 00:00:00,2026-12-07 23:50:00,,1.0
07.2021-12.2021.xlsx,5318216,5.072,c2c07af41c28a1c50b1e2fb504b70b98311c4c5c892023a6518c8171ed56aefa,26640,2021-01-07 00:00:00,2022-01-01 23:50:00,,2.0
07.2022-12.2022.xlsx,5330627,5.084,98b17258012cd38e2e7af8f70cc0e8fef8dcf38e8df38ce8f8818c9d0e97df73,26640,2022-01-07 00:00:00,2023-01-01 23:50:00,,2.0
07.2023-12.2023.xlsx,5389100,5.139,2c3a86fd62089c01640952accf990b6416df4244b26af218a230fd9fae580eeb,26640,2023-01-07 00:00:00,2024-01-01 23:50:00,,2.0
07.2024-12.2024.xlsx,5372056,5.123,f22caede91e4d44ac8de53131e3193a4ec994ab1c08546cd3972eabc7ba9b9c7,26640,2024-01-07 00:00:00,2025-01-01 23:50:00,,2.0
07.2025-12.2025.xlsx,5376507,5.127,59445628cfa1388ad778197fcbfeeebdcdeb406de7f551655f25b14bbf29e4f6,26640,2025-01-07 00:00:00,2026-01-01 23:50:00,,2.0
