model_key,target,n_features,leaked_future_columns,leakage_free
TB01_power_target_10min_xgboost,TB01_power_target_10min,150,[],True
TB01_power_target_10min_lightgbm,TB01_power_target_10min,150,[],True
TB01_power_target_30min_xgboost,TB01_power_target_30min,150,[],True
TB01_power_target_30min_lightgbm,TB01_power_target_30min,150,[],True
TB01_power_target_1hour_xgboost,TB01_power_target_1hour,150,[],True
TB01_power_target_1hour_lightgbm,TB01_power_target_1hour,150,[],True
TB01_power_target_6hour_xgboost,TB01_power_target_6hour,150,[],True
TB01_power_target_6hour_lightgbm,TB01_power_target_6hour,150,[],True
TB01_power_target_24hour_xgboost,TB01_power_target_24hour,150,[],True
TB01_power_target_24hour_lightgbm,TB01_power_target_24hour,150,[],True
TB02_power_target_10min_xgboost,TB02_power_target_10min,150,[],True
TB02_power_target_10min_lightgbm,TB02_power_target_10min,150,[],True
TB02_power_target_30min_xgboost,TB02_power_target_30min,150,[],True
TB02_power_target_30min_lightgbm,TB02_power_target_30min,150,[],True
TB02_power_target_1hour_xgboost,TB02_power_target_1hour,150,[],True
TB02_power_target_1hour_lightgbm,TB02_power_target_1hour,150,[],True
TB02_power_target_6hour_xgboost,TB02_power_target_6hour,150,[],True
TB02_power_target_6hour_lightgbm,TB02_power_target_6hour,150,[],True
TB02_power_target_24hour_xgboost,TB02_power_target_24hour,150,[],True
TB02_power_target_24hour_lightgbm,TB02_power_target_24hour,150,[],True
TB03_power_target_10min_xgboost,TB03_power_target_10min,150,[],True
TB03_power_target_10min_lightgbm,TB03_power_target_10min,150,[],True
TB03_power_target_30min_xgboost,TB03_power_target_30min,150,[],True
TB03_power_target_30min_lightgbm,TB03_power_target_30min,150,[],True
TB03_power_target_1hour_xgboost,TB03_power_target_1hour,150,[],True
TB03_power_target_1hour_lightgbm,TB03_power_target_1hour,150,[],True
TB03_power_target_6hour_xgboost,TB03_power_target_6hour,150,[],True
TB03_power_target_6hour_lightgbm,TB03_power_target_6hour,150,[],True
TB03_power_target_24hour_xgboost,TB03_power_target_24hour,150,[],True
TB03_power_target_24hour_lightgbm,TB03_power_target_24hour,150,[],True
TB04_power_target_10min_xgboost,TB04_power_target_10min,150,[],True
TB04_power_target_10min_lightgbm,TB04_power_target_10min,150,[],True
TB04_power_target_30min_xgboost,TB04_power_target_30min,150,[],True
TB04_power_target_30min_lightgbm,TB04_power_target_30min,150,[],True
TB04_power_target_1hour_xgboost,TB04_power_target_1hour,150,[],True
TB04_power_target_1hour_lightgbm,TB04_power_target_1hour,150,[],True
TB04_power_target_6hour_xgboost,TB04_power_target_6hour,150,[],True
TB04_power_target_6hour_lightgbm,TB04_power_target_6hour,150,[],True
TB04_power_target_24hour_xgboost,TB04_power_target_24hour,150,[],True
TB04_power_target_24hour_lightgbm,TB04_power_target_24hour,150,[],True
TB05_power_target_10min_xgboost,TB05_power_target_10min,150,[],True
TB05_power_target_10min_lightgbm,TB05_power_target_10min,150,[],True
TB05_power_target_30min_xgboost,TB05_power_target_30min,150,[],True
TB05_power_target_30min_lightgbm,TB05_power_target_30min,150,[],True
TB05_power_target_1hour_xgboost,TB05_power_target_1hour,150,[],True
TB05_power_target_1hour_lightgbm,TB05_power_target_1hour,150,[],True
TB05_power_target_6hour_xgboost,TB05_power_target_6hour,150,[],True
TB05_power_target_6hour_lightgbm,TB05_power_target_6hour,150,[],True
TB05_power_target_24hour_xgboost,TB05_power_target_24hour,150,[],True
TB05_power_target_24hour_lightgbm,TB05_power_target_24hour,150,[],True
TB06_power_target_10min_xgboost,TB06_power_target_10min,150,[],True
TB06_power_target_10min_lightgbm,TB06_power_target_10min,150,[],True
TB06_power_target_30min_xgboost,TB06_power_target_30min,150,[],True
TB06_power_target_30min_lightgbm,TB06_power_target_30min,150,[],True
TB06_power_target_1hour_xgboost,TB06_power_target_1hour,150,[],True
TB06_power_target_1hour_lightgbm,TB06_power_target_1hour,150,[],True
TB06_power_target_6hour_xgboost,TB06_power_target_6hour,150,[],True
TB06_power_target_6hour_lightgbm,TB06_power_target_6hour,150,[],True
TB06_power_target_24hour_xgboost,TB06_power_target_24hour,150,[],True
TB06_power_target_24hour_lightgbm,TB06_power_target_24hour,150,[],True
TB07_power_target_10min_xgboost,TB07_power_target_10min,150,[],True
TB07_power_target_10min_lightgbm,TB07_power_target_10min,150,[],True
TB07_power_target_30min_xgboost,TB07_power_target_30min,150,[],True
TB07_power_target_30min_lightgbm,TB07_power_target_30min,150,[],True
TB07_power_target_1hour_xgboost,TB07_power_target_1hour,150,[],True
TB07_power_target_1hour_lightgbm,TB07_power_target_1hour,150,[],True
TB07_power_target_6hour_xgboost,TB07_power_target_6hour,150,[],True
TB07_power_target_6hour_lightgbm,TB07_power_target_6hour,150,[],True
TB07_power_target_24hour_xgboost,TB07_power_target_24hour,150,[],True
TB07_power_target_24hour_lightgbm,TB07_power_target_24hour,150,[],True
TB08_power_target_10min_xgboost,TB08_power_target_10min,150,[],True
TB08_power_target_10min_lightgbm,TB08_power_target_10min,150,[],True
TB08_power_target_30min_xgboost,TB08_power_target_30min,150,[],True
TB08_power_target_30min_lightgbm,TB08_power_target_30min,150,[],True
TB08_power_target_1hour_xgboost,TB08_power_target_1hour,150,[],True
TB08_power_target_1hour_lightgbm,TB08_power_target_1hour,150,[],True
TB08_power_target_6hour_xgboost,TB08_power_target_6hour,150,[],True
TB08_power_target_6hour_lightgbm,TB08_power_target_6hour,150,[],True
TB08_power_target_24hour_xgboost,TB08_power_target_24hour,150,[],True
TB08_power_target_24hour_lightgbm,TB08_power_target_24hour,150,[],True
TB09_power_target_10min_xgboost,TB09_power_target_10min,150,[],True
TB09_power_target_10min_lightgbm,TB09_power_target_10min,150,[],True
TB09_power_target_30min_xgboost,TB09_power_target_30min,150,[],True
TB09_power_target_30min_lightgbm,TB09_power_target_30min,150,[],True
TB09_power_target_1hour_xgboost,TB09_power_target_1hour,150,[],True
TB09_power_target_1hour_lightgbm,TB09_power_target_1hour,150,[],True
TB09_power_target_6hour_xgboost,TB09_power_target_6hour,150,[],True
TB09_power_target_6hour_lightgbm,TB09_power_target_6hour,150,[],True
TB09_power_target_24hour_xgboost,TB09_power_target_24hour,150,[],True
TB09_power_target_24hour_lightgbm,TB09_power_target_24hour,150,[],True
TB10_power_target_10min_xgboost,TB10_power_target_10min,150,[],True
TB10_power_target_10min_lightgbm,TB10_power_target_10min,150,[],True
TB10_power_target_30min_xgboost,TB10_power_target_30min,150,[],True
TB10_power_target_30min_lightgbm,TB10_power_target_30min,150,[],True
TB10_power_target_1hour_xgboost,TB10_power_target_1hour,150,[],True
TB10_power_target_1hour_lightgbm,TB10_power_target_1hour,150,[],True
TB10_power_target_6hour_xgboost,TB10_power_target_6hour,150,[],True
TB10_power_target_6hour_lightgbm,TB10_power_target_6hour,150,[],True
TB10_power_target_24hour_xgboost,TB10_power_target_24hour,150,[],True
TB10_power_target_24hour_lightgbm,TB10_power_target_24hour,150,[],True
TB11_power_target_10min_xgboost,TB11_power_target_10min,150,[],True
TB11_power_target_10min_lightgbm,TB11_power_target_10min,150,[],True
TB11_power_target_30min_xgboost,TB11_power_target_30min,150,[],True
TB11_power_target_30min_lightgbm,TB11_power_target_30min,150,[],True
TB11_power_target_1hour_xgboost,TB11_power_target_1hour,150,[],True
TB11_power_target_1hour_lightgbm,TB11_power_target_1hour,150,[],True
TB11_power_target_6hour_xgboost,TB11_power_target_6hour,150,[],True
