fold,model,target,mae,rmse,r2,n_val
1,xgboost,TB01_power_target_10min,108.4362,166.3577,0.9312,46065
1,lightgbm,TB01_power_target_10min,105.835,164.7634,0.9326,46065
2,xgboost,TB01_power_target_10min,102.1168,158.3287,0.9361,43797
2,lightgbm,TB01_power_target_10min,100.4749,156.8267,0.9373,43797
3,xgboost,TB01_power_target_10min,102.9216,156.8862,0.9425,36099
3,lightgbm,TB01_power_target_10min,97.9074,154.7133,0.944,36099
1,xgboost,TB01_power_target_30min,202.4702,283.0099,0.801,46060
1,lightgbm,TB01_power_target_30min,191.4608,273.4834,0.8142,46060
2,xgboost,TB01_power_target_30min,196.9654,272.2541,0.8109,43793
2,lightgbm,TB01_power_target_30min,178.2461,260.3785,0.8271,43793
3,xgboost,TB01_power_target_30min,191.8733,268.3624,0.8317,36088
3,lightgbm,TB01_power_target_30min,176.3698,260.7253,0.8412,36088
1,xgboost,TB01_power_target_1hour,279.914,369.2814,0.6613,46049
1,lightgbm,TB01_power_target_1hour,256.7948,348.4617,0.6984,46049
2,xgboost,TB01_power_target_1hour,258.8004,345.9699,0.6947,43795
2,lightgbm,TB01_power_target_1hour,235.3652,329.5875,0.7229,43795
3,xgboost,TB01_power_target_1hour,266.2851,353.8966,0.7074,36076
3,lightgbm,TB01_power_target_1hour,245.9838,341.5479,0.7275,36076
1,xgboost,TB01_power_target_6hour,425.1424,525.8201,0.3147,46027
1,lightgbm,TB01_power_target_6hour,408.091,510.2877,0.3546,46027
2,xgboost,TB01_power_target_6hour,384.8306,484.8748,0.4006,43745
2,lightgbm,TB01_power_target_6hour,375.7671,479.7173,0.4133,43745
3,xgboost,TB01_power_target_6hour,402.5087,504.0844,0.4069,35994
3,lightgbm,TB01_power_target_6hour,386.4574,492.5065,0.4339,35994
1,xgboost,TB01_power_target_24hour,473.5362,584.606,0.1526,46022
1,lightgbm,TB01_power_target_24hour,460.3741,576.4493,0.1761,46022
2,xgboost,TB01_power_target_24hour,472.6335,569.2289,0.1699,45624
2,lightgbm,TB01_power_target_24hour,454.2651,557.6492,0.2034,45624
3,xgboost,TB01_power_target_24hour,491.1588,600.5093,0.1774,44198
3,lightgbm,TB01_power_target_24hour,475.5491,593.9363,0.1953,44198
1,xgboost,TB02_power_target_10min,103.9381,163.0337,0.9331,46066
1,lightgbm,TB02_power_target_10min,102.893,161.9094,0.9341,46066
2,xgboost,TB02_power_target_10min,97.5455,149.9143,0.9394,43795
2,lightgbm,TB02_power_target_10min,95.6691,148.6724,0.9404,43795
3,xgboost,TB02_power_target_10min,97.5145,152.3718,0.945,36095
3,lightgbm,TB02_power_target_10min,96.4298,151.9607,0.9453,36095
1,xgboost,TB02_power_target_30min,192.1295,272.4446,0.8133,46062
1,lightgbm,TB02_power_target_30min,181.7448,266.2152,0.8217,46062
2,xgboost,TB02_power_target_30min,179.8961,254.6098,0.8253,43790
2,lightgbm,TB02_power_target_30min,167.0772,245.2959,0.8379,43790
3,xgboost,TB02_power_target_30min,176.6617,259.5802,0.8405,36088
3,lightgbm,TB02_power_target_30min,171.8237,256.1271,0.8447,36088
1,xgboost,TB02_power_target_1hour,256.5742,347.1479,0.6971,46050
1,lightgbm,TB02_power_target_1hour,241.54,335.8195,0.7165,46050
2,xgboost,TB02_power_target_1hour,234.7487,319.4581,0.7251,43778
2,lightgbm,TB02_power_target_1hour,225.424,312.6071,0.7368,43778
3,xgboost,TB02_power_target_1hour,239.2995,336.1594,0.7325,36075
3,lightgbm,TB02_power_target_1hour,234.4926,333.2294,0.7372,36075
1,xgboost,TB02_power_target_6hour,400.0033,506.5065,0.3562,46033
1,lightgbm,TB02_power_target_6hour,387.0376,495.1173,0.3849,46033
2,xgboost,TB02_power_target_6hour,362.3372,463.1521,0.4227,43748
2,lightgbm,TB02_power_target_6hour,354.2963,457.4034,0.437,43748
3,xgboost,TB02_power_target_6hour,379.3391,488.0354,0.4355,36046
3,lightgbm,TB02_power_target_6hour,369.9054,483.6628,0.4456,36046
1,xgboost,TB02_power_target_24hour,454.7483,571.9997,0.1777,46054
1,lightgbm,TB02_power_target_24hour,450.8291,567.6933,0.1901,46054
2,xgboost,TB02_power_target_24hour,441.6276,542.7978,0.2019,45646
2,lightgbm,TB02_power_target_24hour,437.0979,537.4237,0.2177,45646
3,xgboost,TB02_power_target_24hour,463.6093,579.4493,0.2066,44295
3,lightgbm,TB02_power_target_24hour,459.5913,578.0691,0.2104,44295
1,xgboost,TB03_power_target_10min,114.8883,183.7438,0.9132,46067
