model,target,rmse_mean,rmse_std,r2_mean,r2_std,n_folds
lightgbm,TB01_power_target_10min,158.77,5.3,0.938,0.0057,3
lightgbm,TB01_power_target_1hour,339.87,9.55,0.7163,0.0156,3
lightgbm,TB01_power_target_24hour,576.01,18.15,0.1916,0.014,3
lightgbm,TB01_power_target_30min,264.86,7.47,0.8275,0.0135,3
lightgbm,TB01_power_target_6hour,494.17,15.35,0.4006,0.0411,3
lightgbm,TB02_power_target_10min,154.18,6.89,0.9399,0.0056,3
lightgbm,TB02_power_target_1hour,327.22,12.72,0.7302,0.0118,3
lightgbm,TB02_power_target_24hour,561.06,21.12,0.2061,0.0143,3
lightgbm,TB02_power_target_30min,255.88,10.46,0.8348,0.0118,3
lightgbm,TB02_power_target_6hour,478.73,19.34,0.4225,0.0328,3
lightgbm,TB03_power_target_10min,171.42,9.59,0.9235,0.0086,3
lightgbm,TB03_power_target_1hour,344.76,12.8,0.6915,0.0146,3
lightgbm,TB03_power_target_24hour,567.42,19.66,0.1643,0.0169,3
lightgbm,TB03_power_target_30min,273.72,9.46,0.8054,0.0108,3
lightgbm,TB03_power_target_6hour,494.86,28.16,0.3642,0.0525,3
lightgbm,TB04_power_target_10min,158.05,7.74,0.9411,0.0073,3
lightgbm,TB04_power_target_1hour,336.59,10.34,0.7336,0.0149,3
lightgbm,TB04_power_target_24hour,581.07,25.79,0.2128,0.0287,3
lightgbm,TB04_power_target_30min,262.77,8.88,0.8374,0.0147,3
lightgbm,TB04_power_target_6hour,495.75,20.88,0.4217,0.0495,3
lightgbm,TB05_power_target_10min,167.84,4.83,0.9344,0.0032,3
lightgbm,TB05_power_target_1hour,347.58,12.28,0.7186,0.014,3
lightgbm,TB05_power_target_24hour,597.46,11.27,0.1644,0.0278,3
lightgbm,TB05_power_target_30min,275.33,6.5,0.8234,0.007,3
lightgbm,TB05_power_target_6hour,526.91,35.76,0.3514,0.095,3
lightgbm,TB06_power_target_10min,159.26,7.73,0.9317,0.0085,3
lightgbm,TB06_power_target_1hour,327.02,10.92,0.7131,0.0131,3
lightgbm,TB06_power_target_24hour,546.52,16.49,0.2,0.0136,3
lightgbm,TB06_power_target_30min,258.34,8.09,0.8207,0.0148,3
lightgbm,TB06_power_target_6hour,474.7,21.34,0.3946,0.0506,3
lightgbm,TB07_power_target_10min,165.55,7.17,0.9256,0.0034,3
lightgbm,TB07_power_target_1hour,333.04,13.36,0.6988,0.0106,3
lightgbm,TB07_power_target_24hour,550.98,9.5,0.1675,0.0144,3
lightgbm,TB07_power_target_30min,264.52,9.82,0.8099,0.0096,3
lightgbm,TB07_power_target_6hour,471.86,15.56,0.3944,0.0286,3
lightgbm,TB08_power_target_10min,155.81,4.29,0.9369,0.0061,3
lightgbm,TB08_power_target_1hour,325.18,8.18,0.7257,0.0068,3
lightgbm,TB08_power_target_24hour,553.15,13.22,0.2064,0.0214,3
lightgbm,TB08_power_target_30min,256.72,4.18,0.8289,0.0094,3
lightgbm,TB08_power_target_6hour,475.51,20.31,0.4133,0.0383,3
lightgbm,TB09_power_target_10min,162.37,4.49,0.9333,0.0017,3
lightgbm,TB09_power_target_1hour,335.16,12.31,0.716,0.0096,3
lightgbm,TB09_power_target_24hour,558.99,20.65,0.22,0.0141,3
lightgbm,TB09_power_target_30min,264.83,0.4,0.8225,0.007,3
lightgbm,TB09_power_target_6hour,475.49,24.64,0.4281,0.0513,3
lightgbm,TB10_power_target_10min,150.5,3.84,0.9341,0.0045,3
lightgbm,TB10_power_target_1hour,309.43,10.44,0.7218,0.0061,3
lightgbm,TB10_power_target_24hour,524.78,13.9,0.1916,0.0127,3
lightgbm,TB10_power_target_30min,244.18,5.51,0.8266,0.0072,3
lightgbm,TB10_power_target_6hour,443.09,13.76,0.4292,0.0314,3
lightgbm,TB11_power_target_10min,161.54,4.0,0.9301,0.0057,3
lightgbm,TB11_power_target_1hour,332.6,10.05,0.7045,0.0078,3
lightgbm,TB11_power_target_24hour,551.96,17.66,0.1859,0.0086,3
lightgbm,TB11_power_target_30min,264.02,4.91,0.8137,0.0085,3
lightgbm,TB11_power_target_6hour,477.05,17.51,0.3914,0.0359,3
lightgbm,TB12_power_target_10min,166.41,3.91,0.924,0.0036,3
lightgbm,TB12_power_target_1hour,334.83,7.83,0.6924,0.0036,3
lightgbm,TB12_power_target_24hour,544.58,10.31,0.1781,0.0219,3
lightgbm,TB12_power_target_30min,267.26,4.56,0.8039,0.0084,3
lightgbm,TB12_power_target_6hour,475.93,10.77,0.3776,0.0285,3
lightgbm,farm_total_power_target_10min,1331.37,79.35,0.9648,0.0044,3
lightgbm,farm_total_power_target_1hour,3458.06,148.36,0.7632,0.0136,3
lightgbm,farm_total_power_target_24hour,6275.43,156.8,0.21,0.0148,3
lightgbm,farm_total_power_target_30min,2571.82,92.54,0.8689,0.0093,3
lightgbm,farm_total_power_target_6hour,5300.42,250.45,0.4433,0.0407,3
xgboost,TB01_power_target_10min,160.52,5.1,0.9366,0.0057,3
xgboost,TB01_power_target_1hour,356.38,11.85,0.6878,0.0238,3
xgboost,TB01_power_target_24hour,584.78,15.64,0.1666,0.0127,3
xgboost,TB01_power_target_30min,274.54,7.59,0.8145,0.0157,3
xgboost,TB01_power_target_6hour,504.93,20.49,0.3741,0.0515,3
xgboost,TB02_power_target_10min,155.11,6.97,0.9392,0.006,3
xgboost,TB02_power_target_1hour,334.26,13.94,0.7182,0.0187,3
xgboost,TB02_power_target_24hour,564.75,19.37,0.1954,0.0155,3
xgboost,TB02_power_target_30min,262.21,9.2,0.8264,0.0136,3
xgboost,TB02_power_target_6hour,485.9,21.76,0.4048,0.0426,3
xgboost,TB03_power_target_10min,174.34,8.17,0.9209,0.0086,3
xgboost,TB03_power_target_1hour,362.83,21.49,0.6578,0.0349,3
xgboost,TB03_power_target_24hour,581.72,21.64,0.1216,0.0291,3
xgboost,TB03_power_target_30min,278.25,8.89,0.7989,0.011,3
xgboost,TB03_power_target_6hour,505.66,24.14,0.3359,0.051,3
xgboost,TB04_power_target_10min,159.05,7.32,0.9403,0.0074,3
xgboost,TB04_power_target_1hour,345.33,10.35,0.7197,0.0134,3
xgboost,TB04_power_target_24hour,585.89,22.03,0.1995,0.0215,3
xgboost,TB04_power_target_30min,270.53,8.06,0.8276,0.0163,3
xgboost,TB04_power_target_6hour,503.06,20.67,0.4044,0.0528,3
xgboost,TB05_power_target_10min,171.39,6.33,0.9315,0.005,3
xgboost,TB05_power_target_1hour,356.32,14.71,0.7043,0.0168,3
xgboost,TB05_power_target_24hour,606.29,5.48,0.1394,0.0244,3
xgboost,TB05_power_target_30min,279.12,5.62,0.8185,0.0033,3
xgboost,TB05_power_target_6hour,531.79,41.45,0.3386,0.1104,3
xgboost,TB06_power_target_10min,162.8,8.63,0.9287,0.0088,3
xgboost,TB06_power_target_1hour,334.08,10.5,0.7005,0.0143,3
xgboost,TB06_power_target_24hour,555.11,11.92,0.1743,0.021,3
xgboost,TB06_power_target_30min,261.54,9.55,0.8161,0.017,3
xgboost,TB06_power_target_6hour,481.0,25.47,0.3783,0.0612,3
xgboost,TB07_power_target_10min,168.26,9.0,0.9231,0.0054,3
xgboost,TB07_power_target_1hour,339.51,13.02,0.6869,0.0125,3
xgboost,TB07_power_target_24hour,554.74,12.49,0.1561,0.0179,3
xgboost,TB07_power_target_30min,265.92,10.4,0.8078,0.0113,3
xgboost,TB07_power_target_6hour,480.61,16.27,0.3715,0.0342,3
xgboost,TB08_power_target_10min,156.39,3.18,0.9364,0.005,3
xgboost,TB08_power_target_1hour,332.4,6.02,0.7132,0.0135,3
xgboost,TB08_power_target_24hour,565.84,5.66,0.1687,0.0432,3
xgboost,TB08_power_target_30min,262.2,2.65,0.8215,0.0097,3
xgboost,TB08_power_target_6hour,482.73,22.72,0.3952,0.046,3
xgboost,TB09_power_target_10min,166.0,3.22,0.9303,0.0017,3
xgboost,TB09_power_target_1hour,345.02,14.33,0.699,0.0137,3
xgboost,TB09_power_target_24hour,567.56,18.73,0.1958,0.0079,3
xgboost,TB09_power_target_30min,271.5,3.2,0.8135,0.0031,3
xgboost,TB09_power_target_6hour,480.4,23.49,0.4164,0.0478,3
xgboost,TB10_power_target_10min,153.42,3.2,0.9315,0.0027,3
xgboost,TB10_power_target_1hour,321.6,17.83,0.6988,0.0324,3
xgboost,TB10_power_target_24hour,531.33,11.11,0.171,0.022,3
xgboost,TB10_power_target_30min,247.64,5.95,0.8215,0.011,3
xgboost,TB10_power_target_6hour,450.91,16.89,0.4089,0.0357,3
xgboost,TB11_power_target_10min,163.82,3.46,0.9281,0.0062,3
xgboost,TB11_power_target_1hour,342.65,7.69,0.6863,0.0068,3
xgboost,TB11_power_target_24hour,558.07,16.96,0.1676,0.0206,3
xgboost,TB11_power_target_30min,267.95,8.56,0.8079,0.0143,3
xgboost,TB11_power_target_6hour,484.16,18.93,0.3732,0.0377,3
xgboost,TB12_power_target_10min,167.34,4.07,0.9231,0.005,3
xgboost,TB12_power_target_1hour,350.1,8.5,0.6636,0.0076,3
xgboost,TB12_power_target_24hour,549.32,7.29,0.1636,0.0216,3
xgboost,TB12_power_target_30min,271.45,1.79,0.7977,0.0064,3
xgboost,TB12_power_target_6hour,481.67,11.1,0.3627,0.0259,3
xgboost,farm_total_power_target_10min,1365.77,111.0,0.9629,0.0061,3
xgboost,farm_total_power_target_1hour,3595.42,55.58,0.7435,0.0207,3
xgboost,farm_total_power_target_24hour,6420.62,94.85,0.1727,0.0204,3
xgboost,farm_total_power_target_30min,2689.55,118.76,0.8563,0.0168,3
xgboost,farm_total_power_target_6hour,5372.7,302.62,0.4277,0.054,3
