model      , target                       , n_features, mae     , rmse     , r2    , n_samples, ablation
lightgbm   , farm_total_power_target_10min,        150, 752.6379, 1238.4572, 0.9689,     25843, all_features
persistence, farm_total_power_target_10min,        150, 472.0832, 1031.4637, 0.9748,     46807, all_features
ridge      , farm_total_power_target_10min,        150, 768.6756, 1256.7839, 0.968 ,     25843, all_features
xgboost    , farm_total_power_target_10min,        150, 750.422 , 1237.8418, 0.9689,     25843, all_features
lightgbm   , farm_total_power_target_10min,        127, 755.29  , 1241.0107, 0.9688,     25873, without_interaction
persistence, farm_total_power_target_10min,        127, 472.0832, 1031.4637, 0.9748,     46807, without_interaction
ridge      , farm_total_power_target_10min,        127, 769.2328, 1257.0598, 0.9679,     25873, without_interaction
xgboost    , farm_total_power_target_10min,        127, 756.867 , 1245.6383, 0.9685,     25873, without_interaction
lightgbm   , farm_total_power_target_10min,         97, 764.6298, 1260.3221, 0.9678,     25924, without_lag
persistence, farm_total_power_target_10min,         97, 472.0832, 1031.4637, 0.9748,     46807, without_lag
ridge      , farm_total_power_target_10min,         97, 788.5437, 1284.6548, 0.9665,     25924, without_lag
xgboost    , farm_total_power_target_10min,         97, 766.9532, 1265.4775, 0.9675,     25924, without_lag
lightgbm   , farm_total_power_target_10min,         93, 751.917 , 1237.9644, 0.9689,     25843, without_rolling
persistence, farm_total_power_target_10min,         93, 472.0832, 1031.4637, 0.9748,     46807, without_rolling
ridge      , farm_total_power_target_10min,         93, 769.4591, 1258.5927, 0.9679,     25843, without_rolling
xgboost    , farm_total_power_target_10min,         93, 749.9049, 1236.3603, 0.969 ,     25843, without_rolling
lightgbm   , farm_total_power_target_10min,        119, 750.8438, 1236.5595, 0.969 ,     25843, without_weather
persistence, farm_total_power_target_10min,        119, 472.0832, 1031.4637, 0.9748,     46807, without_weather
ridge      , farm_total_power_target_10min,        119, 765.9481, 1256.6181, 0.968 ,     25843, without_weather
xgboost    , farm_total_power_target_10min,        119, 750.8999, 1240.0108, 0.9688,     25843, without_weather
