target,model,horizon,mae,rmse,nmae_pct,nrmse_pct,bias,r2,max_error,skill_score,skill_vs_persistence,skill_vs_ridge,rmse_excl_capacity_zero,n_samples,n_at_capacity,n_zero_power
TB01_power_target_10min,xgboost,10min,98.0758,148.0776,4.458,6.7308,0.7436,0.9442,1318.4321,0.0428,0.0428,-0.0291,154.2558,22464,0,3905
TB01_power_target_10min,lightgbm,10min,96.8339,147.7337,4.4015,6.7152,-3.6008,0.9444,1307.3137,0.0451,0.0451,-0.0267,155.468,22464,0,3905
TB01_power_target_30min,xgboost,30min,180.0002,252.2297,8.1818,11.465,13.41,0.8379,1883.551,0.0357,0.0357,-0.048,257.4008,22465,0,3908
TB01_power_target_30min,lightgbm,30min,169.4148,243.8675,7.7007,11.0849,1.7926,0.8485,1883.6418,0.0677,0.0677,-0.0133,257.6569,22465,0,3908
TB01_power_target_1hour,xgboost,1hour,239.7161,326.1908,10.8962,14.8269,1.5254,0.7287,1852.5304,0.0637,0.0637,-0.0482,339.4895,22465,0,3911
TB01_power_target_1hour,lightgbm,1hour,226.0875,316.9986,10.2767,14.409,-4.6578,0.7438,1890.5805,0.0901,0.0901,-0.0186,334.31,22465,0,3911
TB01_power_target_6hour,xgboost,6hour,366.5097,468.9314,16.6595,21.3151,-4.4813,0.4349,1706.0739,0.3694,0.3694,-0.0014,484.9785,22306,0,3843
TB01_power_target_6hour,lightgbm,6hour,360.2084,463.9211,16.3731,21.0873,-8.5849,0.4469,1736.9133,0.3761,0.3761,0.0093,479.2428,22306,0,3843
TB01_power_target_24hour,xgboost,24hour,420.4528,521.9466,19.1115,23.7248,17.367,0.3003,1749.9583,0.1309,0.1309,-0.0314,524.6,21564,0,3765
TB01_power_target_24hour,lightgbm,24hour,419.3844,521.0292,19.0629,23.6831,11.0891,0.3027,1743.2729,0.1324,0.1324,-0.0296,526.0176,21564,0,3765
TB02_power_target_10min,xgboost,10min,100.9054,148.1469,4.5866,6.734,5.9775,0.9448,1493.9581,0.0483,0.0483,-0.0294,155.2576,22429,0,4060
TB02_power_target_10min,lightgbm,10min,92.9742,144.2219,4.2261,6.5555,-2.8866,0.9477,1599.104,0.0735,0.0735,-0.0021,155.7472,22429,0,4060
TB02_power_target_30min,xgboost,30min,166.6285,242.704,7.574,11.032,2.8255,0.8517,1895.7167,0.0719,0.0719,-0.0123,256.929,22433,0,4065
TB02_power_target_30min,lightgbm,30min,163.4046,240.0334,7.4275,10.9106,-0.8833,0.8549,1883.991,0.0821,0.0821,-0.0012,256.6794,22433,0,4065
