turbine_id,horizon,model,method,confirmed,verification_status,n_actual_events,n_predicted_events,tp,fp,fn,tn,precision,recall,f1,false_alarm_ratio,false_alarm_rate,specificity,balanced_accuracy,prevalence
TB01,10min,xgboost,heuristic_screening,False,SCREENING_ONLY,17099,17622,15569,2053,1530,9080,0.8835,0.9105,0.8968,0.1165,0.1844,0.8156,0.863,0.6057
TB01,10min,lightgbm,heuristic_screening,False,SCREENING_ONLY,17099,17442,15654,1788,1445,9345,0.8975,0.9155,0.9064,0.1025,0.1606,0.8394,0.8774,0.6057
TB01,30min,xgboost,heuristic_screening,False,SCREENING_ONLY,17099,18660,15217,3443,1882,7690,0.8155,0.8899,0.8511,0.1845,0.3093,0.6907,0.7903,0.6057
TB01,30min,lightgbm,heuristic_screening,False,SCREENING_ONLY,17099,17955,15259,2696,1840,8437,0.8498,0.8924,0.8706,0.1502,0.2422,0.7578,0.8251,0.6057
TB01,1hour,xgboost,heuristic_screening,False,SCREENING_ONLY,17099,18590,15091,3499,2008,7634,0.8118,0.8826,0.8457,0.1882,0.3143,0.6857,0.7842,0.6057
TB01,1hour,lightgbm,heuristic_screening,False,SCREENING_ONLY,17099,17910,15009,2901,2090,8232,0.838,0.8778,0.8574,0.162,0.2606,0.7394,0.8086,0.6057
TB01,6hour,xgboost,heuristic_screening,False,SCREENING_ONLY,17099,18717,13924,4793,3175,6340,0.7439,0.8143,0.7775,0.2561,0.4305,0.5695,0.6919,0.6057
TB01,6hour,lightgbm,heuristic_screening,False,SCREENING_ONLY,17099,17810,13720,4090,3379,7043,0.7704,0.8024,0.786,0.2296,0.3674,0.6326,0.7175,0.6057
TB01,24hour,xgboost,heuristic_screening,False,SCREENING_ONLY,17099,18755,14176,4579,2923,6554,0.7559,0.8291,0.7908,0.2441,0.4113,0.5887,0.7089,0.6057
TB01,24hour,lightgbm,heuristic_screening,False,SCREENING_ONLY,17099,17750,13698,4052,3401,7081,0.7717,0.8011,0.7861,0.2283,0.364,0.636,0.7186,0.6057
TB02,10min,xgboost,heuristic_screening,False,SCREENING_ONLY,16981,17715,15446,2269,1535,8982,0.8719,0.9096,0.8904,0.1281,0.2017,0.7983,0.854,0.6015
TB02,10min,lightgbm,heuristic_screening,False,SCREENING_ONLY,16981,17155,15440,1715,1541,9536,0.9,0.9093,0.9046,0.1,0.1524,0.8476,0.8784,0.6015
TB02,30min,xgboost,heuristic_screening,False,SCREENING_ONLY,16981,17451,14904,2547,2077,8704,0.854,0.8777,0.8657,0.146,0.2264,0.7736,0.8257,0.6015
TB02,30min,lightgbm,heuristic_screening,False,SCREENING_ONLY,16981,17355,14897,2458,2084,8793,0.8584,0.8773,0.8677,0.1416,0.2185,0.7815,0.8294,0.6015
TB02,1hour,xgboost,heuristic_screening,False,SCREENING_ONLY,16981,17494,14791,2703,2190,8548,0.8455,0.871,0.8581,0.1545,0.2402,0.7598,0.8154,0.6015
TB02,1hour,lightgbm,heuristic_screening,False,SCREENING_ONLY,16981,17390,14773,2617,2208,8634,0.8495,0.87,0.8596,0.1505,0.2326,0.7674,0.8187,0.6015
TB02,6hour,xgboost,heuristic_screening,False,SCREENING_ONLY,16981,18583,13851,4732,3130,6519,0.7454,0.8157,0.7789,0.2546,0.4206,0.5794,0.6976,0.6015
TB02,6hour,lightgbm,heuristic_screening,False,SCREENING_ONLY,16981,17430,13399,4031,3582,7220,0.7687,0.7891,0.7788,0.2313,0.3583,0.6417,0.7154,0.6015
TB02,24hour,xgboost,heuristic_screening,False,SCREENING_ONLY,16981,18667,14085,4582,2896,6669,0.7545,0.8295,0.7902,0.2455,0.4073,0.5927,0.7111,0.6015
TB02,24hour,lightgbm,heuristic_screening,False,SCREENING_ONLY,16981,17542,13507,4035,3474,7216,0.77,0.7954,0.7825,0.23,0.3586,0.6414,0.7184,0.6015
TB03,10min,xgboost,heuristic_screening,False,SCREENING_ONLY,17184,18042,15821,2221,1363,8827,0.8769,0.9207,0.8983,0.1231,0.201,0.799,0.8598,0.6087
