timestamp,turbine_id,anomaly_score,suspected_component,evidence,method,confirmed,verification_status
2026-02-18T15:30:00.000000000,TB09,0.9001,power_output,Low power at high wind speed,heuristic_screening,False,SCREENING_ONLY
2026-01-19T17:00:00.000000000,TB10,2.5192,power_output,Statistical anomaly (z=2.52),heuristic_screening,False,SCREENING_ONLY
2026-01-19T17:10:00.000000000,TB10,2.5267,power_output,Statistical anomaly (z=2.53),heuristic_screening,False,SCREENING_ONLY
2026-01-20T16:40:00.000000000,TB10,2.5512,power_output,Statistical anomaly (z=2.55),heuristic_screening,False,SCREENING_ONLY
2026-01-20T16:50:00.000000000,TB10,2.5603,power_output,Statistical anomaly (z=2.56),heuristic_screening,False,SCREENING_ONLY
2026-01-21T14:30:00.000000000,TB10,2.5612,power_output,Statistical anomaly (z=2.56),heuristic_screening,False,SCREENING_ONLY
2026-01-21T14:40:00.000000000,TB10,2.5037,power_output,Statistical anomaly (z=2.50),heuristic_screening,False,SCREENING_ONLY
2026-01-21T14:50:00.000000000,TB10,2.5333,power_output,Statistical anomaly (z=2.53),heuristic_screening,False,SCREENING_ONLY
2026-01-21T15:00:00.000000000,TB10,2.564,power_output,Statistical anomaly (z=2.56),heuristic_screening,False,SCREENING_ONLY
2026-01-21T15:10:00.000000000,TB10,2.5088,power_output,Statistical anomaly (z=2.51),heuristic_screening,False,SCREENING_ONLY
2026-01-21T15:20:00.000000000,TB10,2.5446,power_output,Statistical anomaly (z=2.54),heuristic_screening,False,SCREENING_ONLY
2026-01-21T15:30:00.000000000,TB10,2.5498,power_output,Statistical anomaly (z=2.55),heuristic_screening,False,SCREENING_ONLY
2026-01-21T15:40:00.000000000,TB10,2.5367,power_output,Statistical anomaly (z=2.54),heuristic_screening,False,SCREENING_ONLY
2026-01-21T15:50:00.000000000,TB10,2.544,power_output,Statistical anomaly (z=2.54),heuristic_screening,False,SCREENING_ONLY
2026-01-28T14:00:00.000000000,TB10,2.5486,power_output,Statistical anomaly (z=2.55),heuristic_screening,False,SCREENING_ONLY
2026-01-28T15:30:00.000000000,TB10,2.5614,power_output,Statistical anomaly (z=2.56),heuristic_screening,False,SCREENING_ONLY
2026-01-28T15:40:00.000000000,TB10,2.5612,power_output,Statistical anomaly (z=2.56),heuristic_screening,False,SCREENING_ONLY
2026-02-01T10:30:00.000000000,TB10,2.5519,power_output,Statistical anomaly (z=2.55),heuristic_screening,False,SCREENING_ONLY
2026-02-01T12:00:00.000000000,TB10,2.5519,power_output,Statistical anomaly (z=2.55),heuristic_screening,False,SCREENING_ONLY
2026-02-01T16:20:00.000000000,TB10,2.5614,power_output,Statistical anomaly (z=2.56),heuristic_screening,False,SCREENING_ONLY
2026-02-02T15:40:00.000000000,TB10,2.5223,power_output,Statistical anomaly (z=2.52),heuristic_screening,False,SCREENING_ONLY
2026-02-02T16:10:00.000000000,TB10,2.5619,power_output,Statistical anomaly (z=2.56),heuristic_screening,False,SCREENING_ONLY
2026-02-02T16:30:00.000000000,TB10,2.5258,power_output,Statistical anomaly (z=2.53),heuristic_screening,False,SCREENING_ONLY
2026-02-02T16:40:00.000000000,TB10,2.5391,power_output,Statistical anomaly (z=2.54),heuristic_screening,False,SCREENING_ONLY
2026-02-02T16:50:00.000000000,TB10,2.5248,power_output,Statistical anomaly (z=2.52),heuristic_screening,False,SCREENING_ONLY
2026-02-02T17:00:00.000000000,TB10,2.5092,power_output,Statistical anomaly (z=2.51),heuristic_screening,False,SCREENING_ONLY
2026-02-04T15:10:00.000000000,TB10,2.5488,power_output,Statistical anomaly (z=2.55),heuristic_screening,False,SCREENING_ONLY
2026-02-04T15:30:00.000000000,TB10,2.5255,power_output,Statistical anomaly (z=2.53),heuristic_screening,False,SCREENING_ONLY
2026-02-04T15:50:00.000000000,TB10,2.529,power_output,Statistical anomaly (z=2.53),heuristic_screening,False,SCREENING_ONLY
2026-02-07T17:00:00.000000000,TB10,2.56,power_output,Statistical anomaly (z=2.56),heuristic_screening,False,SCREENING_ONLY
2026-02-07T17:10:00.000000000,TB10,2.5423,power_output,Statistical anomaly (z=2.54),heuristic_screening,False,SCREENING_ONLY
2026-02-07T17:20:00.000000000,TB10,2.5368,power_output,Statistical anomaly (z=2.54),heuristic_screening,False,SCREENING_ONLY
2026-02-07T18:20:00.000000000,TB10,2.5037,power_output,Statistical anomaly (z=2.50),heuristic_screening,False,SCREENING_ONLY
2026-02-13T16:30:00.000000000,TB10,2.54,power_output,Statistical anomaly (z=2.54),heuristic_screening,False,SCREENING_ONLY
2026-02-13T16:40:00.000000000,TB10,2.5192,power_output,Statistical anomaly (z=2.52),heuristic_screening,False,SCREENING_ONLY
2026-02-16T16:00:00.000000000,TB10,2.5251,power_output,Statistical anomaly (z=2.53),heuristic_screening,False,SCREENING_ONLY
2026-02-16T16:10:00.000000000,TB10,2.5584,power_output,Statistical anomaly (z=2.56),heuristic_screening,False,SCREENING_ONLY
2026-02-16T16:20:00.000000000,TB10,2.5575,power_output,Statistical anomaly (z=2.56),heuristic_screening,False,SCREENING_ONLY
2026-02-16T16:30:00.000000000,TB10,2.5456,power_output,Statistical anomaly (z=2.55),heuristic_screening,False,SCREENING_ONLY
2026-02-16T16:40:00.000000000,TB10,2.5563,power_output,Statistical anomaly (z=2.56),heuristic_screening,False,SCREENING_ONLY
2026-02-16T16:50:00.000000000,TB10,2.543,power_output,Statistical anomaly (z=2.54),heuristic_screening,False,SCREENING_ONLY
2026-02-16T17:50:00.000000000,TB10,2.5432,power_output,Statistical anomaly (z=2.54),heuristic_screening,False,SCREENING_ONLY
2026-02-17T16:10:00.000000000,TB10,2.56,power_output,Statistical anomaly (z=2.56),heuristic_screening,False,SCREENING_ONLY
2026-02-17T16:20:00.000000000,TB10,2.5242,power_output,Statistical anomaly (z=2.52),heuristic_screening,False,SCREENING_ONLY
2026-02-17T16:30:00.000000000,TB10,2.5612,power_output,Statistical anomaly (z=2.56),heuristic_screening,False,SCREENING_ONLY
2026-02-17T16:40:00.000000000,TB10,2.5612,power_output,Statistical anomaly (z=2.56),heuristic_screening,False,SCREENING_ONLY
2026-02-17T16:50:00.000000000,TB10,2.5619,power_output,Statistical anomaly (z=2.56),heuristic_screening,False,SCREENING_ONLY
2026-02-17T17:00:00.000000000,TB10,2.5616,power_output,Statistical anomaly (z=2.56),heuristic_screening,False,SCREENING_ONLY
2026-02-17T17:10:00.000000000,TB10,2.5619,power_output,Statistical anomaly (z=2.56),heuristic_screening,False,SCREENING_ONLY
