target,model,horizon,nominal_confidence,empirical_coverage,mean_interval_width,calibration_error,n_samples,scope
TB01_power_target_10min,lightgbm,10min,0.5,0.4067,105.03,0.0933,28232,per_model
TB01_power_target_10min,lightgbm,10min,0.8,0.6507,306.64,0.1493,28232,per_model
TB01_power_target_10min,lightgbm,10min,0.9,0.732,468.97,0.168,28232,per_model
TB01_power_target_10min,lightgbm,10min,0.95,0.7727,636.58,0.1773,28232,per_model
TB01_power_target_10min,lightgbm,10min,0.99,0.8053,1070.12,0.1847,28232,per_model
TB01_power_target_10min,xgboost,10min,0.5,0.4079,112.59,0.0921,28232,per_model
TB01_power_target_10min,xgboost,10min,0.8,0.6507,313.05,0.1493,28232,per_model
TB01_power_target_10min,xgboost,10min,0.9,0.732,461.36,0.168,28232,per_model
TB01_power_target_10min,xgboost,10min,0.95,0.7727,626.95,0.1773,28232,per_model
TB01_power_target_10min,xgboost,10min,0.99,0.8053,1055.64,0.1847,28232,per_model
farm_total_power_target_10min,xgboost,10min,0.5,0.5,1294.07,0.0,28232,per_model
farm_total_power_target_10min,xgboost,10min,0.8,0.8,2028.92,0.0,28232,per_model
farm_total_power_target_10min,xgboost,10min,0.9,0.9,3266.72,0.0,28232,per_model
farm_total_power_target_10min,xgboost,10min,0.95,0.95,4635.4,0.0,28232,per_model
farm_total_power_target_10min,xgboost,10min,0.99,0.99,8127.92,0.0,28232,per_model
TB01_power_target_30min,lightgbm,30min,0.5,0.4067,205.39,0.0933,28232,per_model
TB01_power_target_30min,lightgbm,30min,0.8,0.6507,524.09,0.1493,28232,per_model
TB01_power_target_30min,lightgbm,30min,0.9,0.732,783.12,0.168,28232,per_model
TB01_power_target_30min,lightgbm,30min,0.95,0.7727,1048.15,0.1773,28232,per_model
TB01_power_target_30min,lightgbm,30min,0.99,0.8053,1692.2,0.1847,28232,per_model
TB01_power_target_30min,xgboost,30min,0.5,0.4067,244.36,0.0933,28232,per_model
TB01_power_target_30min,xgboost,30min,0.8,0.6507,554.58,0.1493,28232,per_model
TB01_power_target_30min,xgboost,30min,0.9,0.732,786.28,0.168,28232,per_model
TB01_power_target_30min,xgboost,30min,0.95,0.7727,1051.54,0.1773,28232,per_model
TB01_power_target_30min,xgboost,30min,0.99,0.8053,1735.41,0.1847,28232,per_model
farm_total_power_target_30min,xgboost,30min,0.5,0.5,3184.31,0.0,28232,per_model
farm_total_power_target_30min,xgboost,30min,0.8,0.9521,9612.64,0.1521,28232,per_model
farm_total_power_target_30min,xgboost,30min,0.9,0.9521,9612.64,0.0521,28232,per_model
farm_total_power_target_30min,xgboost,30min,0.95,0.9521,9612.64,0.0021,28232,per_model
farm_total_power_target_30min,xgboost,30min,0.99,0.99,15676.71,0.0,28232,per_model
TB01_power_target_1hour,lightgbm,1hour,0.5,0.4067,287.18,0.0933,28232,per_model
TB01_power_target_1hour,lightgbm,1hour,0.8,0.6507,718.11,0.1493,28232,per_model
TB01_power_target_1hour,lightgbm,1hour,0.9,0.732,1035.31,0.168,28232,per_model
TB01_power_target_1hour,lightgbm,1hour,0.95,0.7727,1368.68,0.1773,28232,per_model
TB01_power_target_1hour,lightgbm,1hour,0.99,0.8053,2119.18,0.1847,28232,per_model
TB01_power_target_1hour,xgboost,1hour,0.5,0.4067,356.03,0.0933,28232,per_model
TB01_power_target_1hour,xgboost,1hour,0.8,0.6507,737.43,0.1493,28232,per_model
TB01_power_target_1hour,xgboost,1hour,0.9,0.732,1061.41,0.168,28232,per_model
TB01_power_target_1hour,xgboost,1hour,0.95,0.7727,1399.19,0.1773,28232,per_model
TB01_power_target_1hour,xgboost,1hour,0.99,0.8053,2110.62,0.1847,28232,per_model
farm_total_power_target_1hour,xgboost,1hour,0.5,0.5001,4336.43,0.0001,28232,per_model
farm_total_power_target_1hour,xgboost,1hour,0.8,0.8,6172.8,0.0,28232,per_model
farm_total_power_target_1hour,xgboost,1hour,0.9,0.9,9383.25,0.0,28232,per_model
