timestamp_issue,timestamp_target,horizon_min,farm_power_pred,farm_power_low,farm_power_high,farm_energy_pred,forecast_quality
2026-01-16,2026-01-16,10,852.8,29.68,2152.77,142.13,production
2026-01-16,2026-01-16,10,872.99,32.87,2157.18,145.5,production
2026-01-16,2026-01-16,30,1229.09,0.0,2200.0,614.54,production
2026-01-16,2026-01-16,30,1208.32,0.0,2200.0,604.16,production
2026-01-16,2026-01-16,60,1398.02,0.0,2200.0,1398.02,production
2026-01-16,2026-01-16,60,1345.0,0.0,2200.0,1345.0,production
2026-01-16,2026-01-16,360,2987.83,0.0,2200.0,17926.98,reference_only
2026-01-16,2026-01-16,360,3402.08,0.0,2200.0,20412.48,reference_only
2026-01-16,2026-01-16,1440,3701.23,0.0,2200.0,88829.52,reference_only
2026-01-16,2026-01-16,1440,3706.04,0.0,2200.0,88944.96,reference_only
2026-01-17,2026-01-17,10,3560.12,2527.88,2142.55,593.35,production
2026-01-17,2026-01-17,10,3595.92,2545.31,2158.71,599.32,production
2026-01-17,2026-01-17,30,3778.6,1817.08,2200.0,1889.3,production
2026-01-17,2026-01-17,30,4019.05,1226.7,2200.0,2009.53,production
2026-01-17,2026-01-17,60,3826.35,1226.48,2200.0,3826.35,production
2026-01-17,2026-01-17,60,4143.51,1222.95,2200.0,4143.51,production
2026-01-17,2026-01-17,360,4331.49,21.18,2200.0,25988.94,reference_only
2026-01-17,2026-01-17,360,4384.19,0.0,2200.0,26305.14,reference_only
2026-01-17,2026-01-17,1440,6111.01,191.31,2200.0,146664.24,reference_only
2026-01-17,2026-01-17,1440,5859.68,176.03,2200.0,140632.32,reference_only
2026-01-18,2026-01-18,10,3442.29,2294.0,2145.43,573.72,production
2026-01-18,2026-01-18,10,3489.92,2313.14,2170.53,581.65,production
2026-01-18,2026-01-18,30,3707.87,1544.78,2200.0,1853.93,production
2026-01-18,2026-01-18,30,3993.37,859.09,2200.0,1996.68,production
2026-01-18,2026-01-18,60,3882.47,966.89,2200.0,3882.47,production
2026-01-18,2026-01-18,60,4200.57,981.61,2200.0,4200.57,production
2026-01-18,2026-01-18,360,4381.26,47.5,2200.0,26287.56,reference_only
2026-01-18,2026-01-18,360,4360.07,5.85,2200.0,26160.42,reference_only
2026-01-18,2026-01-18,1440,6175.04,159.87,2200.0,148200.96,reference_only
2026-01-18,2026-01-18,1440,5770.59,129.96,2200.0,138494.16,reference_only
2026-01-19,2026-01-19,10,6126.97,4796.38,2191.77,1021.16,production
2026-01-19,2026-01-19,10,6146.77,4823.45,2190.12,1024.46,production
2026-01-19,2026-01-19,30,6224.86,3859.32,2200.0,3112.43,production
2026-01-19,2026-01-19,30,6310.47,3189.45,2200.0,3155.24,production
2026-01-19,2026-01-19,60,6238.42,3015.8,2200.0,6238.42,production
2026-01-19,2026-01-19,60,6235.47,3014.5,2200.0,6235.47,production
2026-01-19,2026-01-19,360,5729.01,249.99,2200.0,34374.06,reference_only
2026-01-19,2026-01-19,360,5133.03,17.08,2200.0,30798.18,reference_only
2026-01-19,2026-01-19,1440,7824.22,1031.63,2200.0,187781.28,reference_only
2026-01-19,2026-01-19,1440,8063.81,1154.68,2200.0,193531.44,reference_only
2026-01-20,2026-01-20,10,6799.04,5457.99,2179.59,1133.17,production
2026-01-20,2026-01-20,10,6802.68,5466.22,2185.93,1133.78,production
2026-01-20,2026-01-20,30,6804.67,4432.25,2200.0,3402.34,production
2026-01-20,2026-01-20,30,6917.54,3847.12,2200.0,3458.77,production
2026-01-20,2026-01-20,60,6528.88,3423.59,2200.0,6528.88,production
2026-01-20,2026-01-20,60,6508.34,3401.23,2200.0,6508.34,production
2026-01-20,2026-01-20,360,6798.88,624.66,2200.0,40793.28,reference_only
2026-01-20,2026-01-20,360,6939.9,283.42,2200.0,41639.4,reference_only
2026-01-20,2026-01-20,1440,7582.98,1382.67,2200.0,181991.52,reference_only
2026-01-20,2026-01-20,1440,7772.61,1495.75,2200.0,186542.64,reference_only
2026-01-21,2026-01-21,10,9117.58,7511.34,2198.54,1519.6,production
2026-01-21,2026-01-21,10,9125.4,7540.44,2197.95,1520.9,production
2026-01-21,2026-01-21,30,8946.27,5955.7,2200.0,4473.14,production
2026-01-21,2026-01-21,30,8995.27,4934.02,2200.0,4497.64,production
2026-01-21,2026-01-21,60,8827.11,4634.56,2200.0,8827.11,production
2026-01-21,2026-01-21,60,8860.01,4701.12,2200.0,8860.01,production
2026-01-21,2026-01-21,360,8290.91,2196.59,2200.0,49745.46,reference_only
2026-01-21,2026-01-21,360,8386.96,1628.86,2200.0,50321.76,reference_only
2026-01-21,2026-01-21,1440,8261.82,1061.65,2200.0,198283.68,reference_only
2026-01-21,2026-01-21,1440,8618.58,1312.11,2200.0,206845.92,reference_only
2026-01-22,2026-01-22,10,10826.79,9168.14,2200.0,1804.47,production
2026-01-22,2026-01-22,10,10784.38,9151.03,2200.0,1797.4,production
2026-01-22,2026-01-22,30,10561.98,7306.76,2200.0,5280.99,production
2026-01-22,2026-01-22,30,10503.01,5707.89,2200.0,5251.51,production
2026-01-22,2026-01-22,60,10216.66,5494.5,2200.0,10216.66,production
2026-01-22,2026-01-22,60,10233.8,5543.73,2200.0,10233.8,production
2026-01-22,2026-01-22,360,7907.15,986.76,2200.0,47442.9,reference_only
2026-01-22,2026-01-22,360,7695.32,510.18,2200.0,46171.92,reference_only
2026-01-22,2026-01-22,1440,8754.56,839.04,2200.0,210109.44,reference_only
2026-01-22,2026-01-22,1440,8570.45,771.23,2200.0,205690.8,reference_only
2026-01-23,2026-01-23,10,15682.51,14023.86,2200.0,2613.75,production
2026-01-23,2026-01-23,10,15676.3,14042.94,2200.0,2612.72,production
2026-01-23,2026-01-23,30,14983.35,11728.13,2200.0,7491.68,production
2026-01-23,2026-01-23,30,14988.72,10182.4,2200.0,7494.36,production
2026-01-23,2026-01-23,60,14056.97,9329.39,2200.0,14056.97,production
2026-01-23,2026-01-23,60,14260.9,9569.27,2200.0,14260.9,production
2026-01-23,2026-01-23,360,12035.11,4252.03,2200.0,72210.66,reference_only
2026-01-23,2026-01-23,360,11999.67,3553.72,2200.0,71998.02,reference_only
2026-01-23,2026-01-23,1440,9961.35,1532.18,2200.0,239072.4,reference_only
2026-01-23,2026-01-23,1440,9536.0,1400.33,2200.0,228864.0,reference_only
2026-01-24,2026-01-24,10,12472.69,10814.05,2200.0,2078.78,production
2026-01-24,2026-01-24,10,12480.18,10846.82,2200.0,2080.03,production
2026-01-24,2026-01-24,30,12045.77,8790.55,2200.0,6022.89,production
2026-01-24,2026-01-24,30,11984.91,7178.59,2200.0,5992.45,production
2026-01-24,2026-01-24,60,11616.92,6889.34,2200.0,11616.92,production
2026-01-24,2026-01-24,60,11694.71,7003.09,2200.0,11694.71,production
2026-01-24,2026-01-24,360,9660.08,2019.21,2200.0,57960.48,reference_only
2026-01-24,2026-01-24,360,10273.59,1746.17,2200.0,61641.54,reference_only
2026-01-24,2026-01-24,1440,9153.78,1109.03,2200.0,219690.72,reference_only
2026-01-24,2026-01-24,1440,8710.36,919.28,2200.0,209048.64,reference_only
2026-01-25,2026-01-25,10,7352.37,5696.94,2200.0,1225.39,production
2026-01-25,2026-01-25,10,7335.44,5704.57,2200.0,1222.57,production
2026-01-25,2026-01-25,30,7380.88,4159.01,2200.0,3690.44,production
2026-01-25,2026-01-25,30,7247.57,2777.2,2200.0,3623.78,production
2026-01-25,2026-01-25,60,7190.83,2703.82,2200.0,7190.83,production
2026-01-25,2026-01-25,60,7243.12,2780.71,2200.0,7243.12,production
2026-01-25,2026-01-25,360,8956.87,2177.49,2200.0,53741.22,reference_only
2026-01-25,2026-01-25,360,9578.86,1849.07,2200.0,57473.16,reference_only
2026-01-25,2026-01-25,1440,7463.89,604.08,2200.0,179133.36,reference_only
2026-01-25,2026-01-25,1440,7552.18,569.53,2200.0,181252.32,reference_only
2026-01-26,2026-01-26,10,10238.84,8580.2,2200.0,1706.47,production
2026-01-26,2026-01-26,10,10242.04,8608.68,2200.0,1707.01,production
2026-01-26,2026-01-26,30,9956.27,6718.29,2200.0,4978.14,production
2026-01-26,2026-01-26,30,9885.34,5193.41,2200.0,4942.67,production
2026-01-26,2026-01-26,60,9609.9,4965.84,2200.0,9609.9,production
2026-01-26,2026-01-26,60,9594.76,4978.38,2200.0,9594.76,production
2026-01-26,2026-01-26,360,8044.94,1573.38,2200.0,48269.64,reference_only
2026-01-26,2026-01-26,360,8336.51,1188.06,2200.0,50019.06,reference_only
2026-01-26,2026-01-26,1440,8606.72,1422.41,2200.0,206561.28,reference_only
2026-01-26,2026-01-26,1440,8611.97,1430.79,2200.0,206687.28,reference_only
2026-01-27,2026-01-27,10,7131.86,5473.21,2200.0,1188.64,production
2026-01-27,2026-01-27,10,7140.21,5506.85,2200.0,1190.04,production
2026-01-27,2026-01-27,30,7099.8,3905.06,2200.0,3549.9,production
2026-01-27,2026-01-27,30,7060.48,2854.95,2200.0,3530.24,production
2026-01-27,2026-01-27,60,6936.48,2657.78,2200.0,6936.48,production
2026-01-27,2026-01-27,60,6876.45,2660.96,2200.0,6876.45,production
2026-01-27,2026-01-27,360,6962.41,836.62,2200.0,41774.46,reference_only
2026-01-27,2026-01-27,360,6953.76,640.16,2200.0,41722.56,reference_only
2026-01-27,2026-01-27,1440,7537.49,1104.01,2200.0,180899.76,reference_only
2026-01-27,2026-01-27,1440,7436.67,1091.26,2200.0,178480.08,reference_only
2026-01-28,2026-01-28,10,11415.6,9769.48,2200.0,1902.6,production
2026-01-28,2026-01-28,10,11396.83,9774.89,2200.0,1899.47,production
2026-01-28,2026-01-28,30,11015.49,7842.81,2200.0,5507.74,production
2026-01-28,2026-01-28,30,11009.34,6540.09,2200.0,5504.67,production
2026-01-28,2026-01-28,60,10638.82,6193.07,2200.0,10638.82,production
2026-01-28,2026-01-28,60,10609.63,6203.94,2200.0,10609.63,production
2026-01-28,2026-01-28,360,9565.2,2144.04,2200.0,57391.2,reference_only
2026-01-28,2026-01-28,360,9323.04,1491.04,2200.0,55938.24,reference_only
2026-01-28,2026-01-28,1440,8831.01,1748.03,2200.0,211944.24,reference_only
2026-01-28,2026-01-28,1440,8834.54,1786.23,2200.0,212028.96,reference_only
2026-01-29,2026-01-29,10,9324.83,7666.19,2200.0,1554.14,production
2026-01-29,2026-01-29,10,9336.93,7703.57,2200.0,1556.15,production
2026-01-29,2026-01-29,30,9118.71,5885.55,2200.0,4559.35,production
2026-01-29,2026-01-29,30,9085.47,4446.95,2200.0,4542.73,production
2026-01-29,2026-01-29,60,8640.25,4054.49,2200.0,8640.25,production
2026-01-29,2026-01-29,60,8694.03,4121.76,2200.0,8694.03,production
2026-01-29,2026-01-29,360,10105.13,3087.02,2200.0,60630.78,reference_only
2026-01-29,2026-01-29,360,9766.6,1944.17,2200.0,58599.6,reference_only
2026-01-29,2026-01-29,1440,8056.14,1136.5,2200.0,193347.36,reference_only
2026-01-29,2026-01-29,1440,7975.75,1189.22,2200.0,191418.0,reference_only
2026-01-30,2026-01-30,10,7777.13,6187.49,2196.24,1296.19,production
2026-01-30,2026-01-30,10,7792.36,6225.36,2196.66,1298.73,production
2026-01-30,2026-01-30,30,7766.79,4887.86,2200.0,3883.39,production
2026-01-30,2026-01-30,30,7771.89,3991.32,2200.0,3885.95,production
2026-01-30,2026-01-30,60,7573.57,3733.81,2200.0,7573.57,production
2026-01-30,2026-01-30,60,7607.78,3762.85,2200.0,7607.78,production
2026-01-30,2026-01-30,360,8080.74,1395.79,2200.0,48484.44,reference_only
2026-01-30,2026-01-30,360,7946.95,1056.6,2200.0,47681.7,reference_only
2026-01-30,2026-01-30,1440,7470.63,1235.74,2200.0,179295.12,reference_only
2026-01-30,2026-01-30,1440,7634.87,1308.49,2200.0,183236.88,reference_only
2026-01-31,2026-01-31,10,6963.37,5479.09,2183.5,1160.56,production
2026-01-31,2026-01-31,10,6959.04,5487.38,2188.6,1159.84,production
2026-01-31,2026-01-31,30,6963.03,4195.12,2200.0,3481.51,production
2026-01-31,2026-01-31,30,6975.45,3197.37,2200.0,3487.72,production
2026-01-31,2026-01-31,60,6980.91,3172.53,2200.0,6980.91,production
2026-01-31,2026-01-31,60,7103.91,3291.81,2200.0,7103.91,production
2026-01-31,2026-01-31,360,7227.94,1166.12,2200.0,43367.64,reference_only
2026-01-31,2026-01-31,360,6959.45,639.71,2200.0,41756.7,reference_only
2026-01-31,2026-01-31,1440,7345.12,658.59,2200.0,176282.88,reference_only
2026-01-31,2026-01-31,1440,7474.33,617.44,2200.0,179383.92,reference_only
2026-02-01,2026-02-01,10,12926.95,11268.3,2200.0,2154.49,production
2026-02-01,2026-02-01,10,12878.11,11244.75,2200.0,2146.35,production
2026-02-01,2026-02-01,30,12493.7,9249.28,2200.0,6246.85,production
2026-02-01,2026-02-01,30,12487.88,7708.07,2200.0,6243.94,production
2026-02-01,2026-02-01,60,12419.28,7725.0,2200.0,12419.28,production
2026-02-01,2026-02-01,60,12598.7,7929.14,2200.0,12598.7,production
2026-02-01,2026-02-01,360,11741.94,4102.27,2200.0,70451.64,reference_only
2026-02-01,2026-02-01,360,11574.36,3067.0,2200.0,69446.16,reference_only
2026-02-01,2026-02-01,1440,9206.96,1015.32,2200.0,220967.04,reference_only
2026-02-01,2026-02-01,1440,9626.82,1322.68,2200.0,231043.68,reference_only
2026-02-02,2026-02-02,10,13867.53,12208.89,2200.0,2311.26,production
2026-02-02,2026-02-02,10,13847.91,12214.55,2200.0,2307.99,production
2026-02-02,2026-02-02,30,13475.9,10220.67,2200.0,6737.95,production
2026-02-02,2026-02-02,30,13467.44,8672.12,2200.0,6733.72,production
2026-02-02,2026-02-02,60,12882.16,8156.35,2200.0,12882.16,production
