horizon_a,horizon_b,n_samples_a,n_samples_b,n_common_samples,window_identical,window_start,window_end,r2_a_on_common,r2_b_on_common,r2_b_minus_a_on_common,n_at_capacity_a_common,n_at_capacity_b_common,n_zero_power_a_common,n_zero_power_b_common,note
10min,30min,28232,28232,28232,True,2026-01-16T22:40:00.000000000,2026-07-31T23:50:00.000000000,0.9702,0.7966,-0.1736,0,0,8931,8930,"Both horizons scored on the intersection of valid target samples: identical test window, timestamps and capacity/zero masks."
10min,1hour,28232,28232,28232,True,2026-01-16T22:40:00.000000000,2026-07-31T23:50:00.000000000,0.9702,0.7752,-0.195,0,0,8931,8929,"Both horizons scored on the intersection of valid target samples: identical test window, timestamps and capacity/zero masks."
10min,6hour,28232,28232,28232,True,2026-01-16T22:40:00.000000000,2026-07-31T23:50:00.000000000,0.9702,0.3656,-0.6046,0,0,8931,8907,"Both horizons scored on the intersection of valid target samples: identical test window, timestamps and capacity/zero masks."
10min,24hour,28232,28232,28232,True,2026-01-16T22:40:00.000000000,2026-07-31T23:50:00.000000000,0.9702,0.2848,-0.6853,0,0,8931,8874,"Both horizons scored on the intersection of valid target samples: identical test window, timestamps and capacity/zero masks."
30min,10min,28232,28232,28232,True,2026-01-16T22:40:00.000000000,2026-07-31T23:50:00.000000000,0.7966,0.9702,0.1736,0,0,8930,8931,"Both horizons scored on the intersection of valid target samples: identical test window, timestamps and capacity/zero masks."
30min,1hour,28232,28232,28232,True,2026-01-16T22:40:00.000000000,2026-07-31T23:50:00.000000000,0.7966,0.7752,-0.0214,0,0,8930,8929,"Both horizons scored on the intersection of valid target samples: identical test window, timestamps and capacity/zero masks."
30min,6hour,28232,28232,28232,True,2026-01-16T22:40:00.000000000,2026-07-31T23:50:00.000000000,0.7966,0.3656,-0.431,0,0,8930,8907,"Both horizons scored on the intersection of valid target samples: identical test window, timestamps and capacity/zero masks."
30min,24hour,28232,28232,28232,True,2026-01-16T22:40:00.000000000,2026-07-31T23:50:00.000000000,0.7966,0.2848,-0.5117,0,0,8930,8874,"Both horizons scored on the intersection of valid target samples: identical test window, timestamps and capacity/zero masks."
1hour,10min,28232,28232,28232,True,2026-01-16T22:40:00.000000000,2026-07-31T23:50:00.000000000,0.7752,0.9702,0.195,0,0,8929,8931,"Both horizons scored on the intersection of valid target samples: identical test window, timestamps and capacity/zero masks."
1hour,30min,28232,28232,28232,True,2026-01-16T22:40:00.000000000,2026-07-31T23:50:00.000000000,0.7752,0.7966,0.0214,0,0,8929,8930,"Both horizons scored on the intersection of valid target samples: identical test window, timestamps and capacity/zero masks."
1hour,6hour,28232,28232,28232,True,2026-01-16T22:40:00.000000000,2026-07-31T23:50:00.000000000,0.7752,0.3656,-0.4096,0,0,8929,8907,"Both horizons scored on the intersection of valid target samples: identical test window, timestamps and capacity/zero masks."
1hour,24hour,28232,28232,28232,True,2026-01-16T22:40:00.000000000,2026-07-31T23:50:00.000000000,0.7752,0.2848,-0.4904,0,0,8929,8874,"Both horizons scored on the intersection of valid target samples: identical test window, timestamps and capacity/zero masks."
6hour,10min,28232,28232,28232,True,2026-01-16T22:40:00.000000000,2026-07-31T23:50:00.000000000,0.3656,0.9702,0.6046,0,0,8907,8931,"Both horizons scored on the intersection of valid target samples: identical test window, timestamps and capacity/zero masks."
6hour,30min,28232,28232,28232,True,2026-01-16T22:40:00.000000000,2026-07-31T23:50:00.000000000,0.3656,0.7966,0.431,0,0,8907,8930,"Both horizons scored on the intersection of valid target samples: identical test window, timestamps and capacity/zero masks."
6hour,1hour,28232,28232,28232,True,2026-01-16T22:40:00.000000000,2026-07-31T23:50:00.000000000,0.3656,0.7752,0.4096,0,0,8907,8929,"Both horizons scored on the intersection of valid target samples: identical test window, timestamps and capacity/zero masks."
6hour,24hour,28232,28232,28232,True,2026-01-16T22:40:00.000000000,2026-07-31T23:50:00.000000000,0.3656,0.2848,-0.0808,0,0,8907,8874,"Both horizons scored on the intersection of valid target samples: identical test window, timestamps and capacity/zero masks."
24hour,10min,28232,28232,28232,True,2026-01-16T22:40:00.000000000,2026-07-31T23:50:00.000000000,0.2848,0.9702,0.6853,0,0,8874,8931,"Both horizons scored on the intersection of valid target samples: identical test window, timestamps and capacity/zero masks."
24hour,30min,28232,28232,28232,True,2026-01-16T22:40:00.000000000,2026-07-31T23:50:00.000000000,0.2848,0.7966,0.5117,0,0,8874,8930,"Both horizons scored on the intersection of valid target samples: identical test window, timestamps and capacity/zero masks."
24hour,1hour,28232,28232,28232,True,2026-01-16T22:40:00.000000000,2026-07-31T23:50:00.000000000,0.2848,0.7752,0.4904,0,0,8874,8929,"Both horizons scored on the intersection of valid target samples: identical test window, timestamps and capacity/zero masks."
24hour,6hour,28232,28232,28232,True,2026-01-16T22:40:00.000000000,2026-07-31T23:50:00.000000000,0.2848,0.3656,0.0808,0,0,8874,8907,"Both horizons scored on the intersection of valid target samples: identical test window, timestamps and capacity/zero masks."
