target,model,horizon,mae,rmse,nmae_pct,nrmse_pct,bias,r2,max_error,n_samples,n_at_capacity,n_zero_power,level,mae_corrected,rmse_corrected,nmae_pct_corrected,nrmse_pct_corrected,bias_corrected,r2_corrected,max_error_corrected,n_samples_corrected,correction_kind,correction_slope,correction_intercept,correction_scalar_kw
farm_total_power_target_10min,xgboost,10min,800.6396,1209.73,3.0327,4.5823,106.0792,0.9691,15070.899,22465,0,3636,farm_total,769.5382,1205.9235,2.9149,4.5679,6.6789,0.9693,15271.5675,22465,linear,1.016738,-215.1703,-98.1555
farm_total_power_target_10min,lightgbm,10min,793.9822,1216.2328,3.0075,4.6069,104.6902,0.9688,15558.9671,22465,0,3636,farm_total,769.5375,1215.522,2.9149,4.6043,39.0905,0.9688,15707.6243,22465,linear,1.012706,-153.4643,-65.0564
farm_total_power_target_30min,xgboost,30min,1728.2906,2453.9297,6.5466,9.2952,267.9862,0.8728,22105.0348,22465,0,3633,farm_total,1632.3795,2434.7532,6.1833,9.2225,-83.9032,0.8748,22693.7794,22465,linear,1.060996,-783.3381,-342.0658
farm_total_power_target_30min,lightgbm,30min,1591.0007,2347.7305,6.0265,8.8929,130.5033,0.8836,22429.5976,22465,0,3633,farm_total,1526.5,2343.5692,5.7822,8.8772,45.0563,0.884,22926.1777,22465,linear,1.036644,-339.6065,-83.9671
farm_total_power_target_1hour,xgboost,1hour,2341.9984,3231.1387,8.8712,12.2392,185.9529,0.7794,21756.2781,22465,0,3627,farm_total,2217.1987,3206.2499,8.3985,12.1449,-18.1661,0.7828,22534.518,22465,linear,1.066183,-666.3747,-197.1857
farm_total_power_target_1hour,lightgbm,1hour,2257.6731,3198.7379,8.5518,12.1164,77.0376,0.7838,21273.2791,22465,0,3627,farm_total,2183.3757,3185.615,8.2704,12.0667,87.5278,0.7856,22010.5609,22465,linear,1.050231,-334.8778,10.7755
farm_total_power_target_6hour,xgboost,6hour,3918.7418,4962.3352,14.8437,18.7967,350.4786,0.4762,19366.1902,22465,0,3687,farm_total,3748.6778,4926.9919,14.1995,18.6628,-129.4242,0.4836,20028.5505,22465,linear,1.072976,-1000.4223,-463.8222
farm_total_power_target_6hour,lightgbm,6hour,3873.3713,4945.633,14.6719,18.7335,198.3664,0.4797,19025.7605,22465,0,3687,farm_total,3771.9635,4923.7058,14.2877,18.6504,-63.5461,0.4843,19601.827,22465,linear,1.049693,-608.8013,-253.8361
farm_total_power_target_24hour,xgboost,24hour,4669.0445,5791.9196,17.6858,21.9391,560.1893,0.2863,20838.0703,22465,0,4352,farm_total,4700.6857,5808.6484,17.8056,22.0025,237.2283,0.2821,20121.1511,22465,linear,0.849645,746.1152,-336.9154
farm_total_power_target_24hour,lightgbm,24hour,4682.8214,5789.0727,17.738,21.9283,545.7047,0.287,20019.4128,22465,0,4352,farm_total,4682.8201,5805.9603,17.738,21.9923,179.5405,0.2828,19403.9525,22465,linear,0.877929,500.0348,-385.1482
