timestamp_issue,timestamp_target,turbine_id,horizon_min,y_pred,y_low,y_high,model_version,forecast_quality
2026-01-16,2026-01-16,TB01,10,95.86,0.0,330.34,2.0.0_lightgbm,production
2026-01-16,2026-01-16,TB01,10,94.6,0.0,325.28,2.0.0_xgboost,production
2026-01-16,2026-01-16,TB01,30,126.36,0.0,517.93,2.0.0_lightgbm,production
2026-01-16,2026-01-16,TB01,30,119.83,0.0,512.97,2.0.0_xgboost,production
2026-01-16,2026-01-16,TB01,60,137.33,0.0,654.99,2.0.0_lightgbm,production
2026-01-16,2026-01-16,TB01,60,146.64,0.0,677.34,2.0.0_xgboost,production
2026-01-16,2026-01-16,TB01,360,251.15,0.0,1039.14,2.0.0_lightgbm,reference_only
2026-01-16,2026-01-16,TB01,360,267.39,0.0,1056.56,2.0.0_xgboost,reference_only
2026-01-16,2026-01-16,TB01,1440,348.37,0.0,1223.37,2.0.0_lightgbm,reference_only
2026-01-16,2026-01-16,TB01,1440,339.81,0.0,1216.4,2.0.0_xgboost,reference_only
2026-01-16,2026-01-16,TB02,10,81.34,0.0,311.36,2.0.0_lightgbm,production
2026-01-16,2026-01-16,TB02,10,76.67,0.0,307.48,2.0.0_xgboost,production
2026-01-16,2026-01-16,TB02,30,108.98,0.0,495.23,2.0.0_lightgbm,production
2026-01-16,2026-01-16,TB02,30,107.96,0.0,497.82,2.0.0_xgboost,production
2026-01-16,2026-01-16,TB02,60,123.18,0.0,642.69,2.0.0_lightgbm,production
2026-01-16,2026-01-16,TB02,60,138.34,0.0,656.51,2.0.0_xgboost,production
2026-01-16,2026-01-16,TB02,360,322.02,0.0,1111.34,2.0.0_lightgbm,reference_only
2026-01-16,2026-01-16,TB02,360,348.19,0.0,1132.76,2.0.0_xgboost,reference_only
2026-01-16,2026-01-16,TB02,1440,332.83,0.0,1243.27,2.0.0_lightgbm,reference_only
2026-01-16,2026-01-16,TB02,1440,349.33,0.0,1248.87,2.0.0_xgboost,reference_only
2026-01-16,2026-01-16,TB03,10,73.7,0.0,308.72,2.0.0_lightgbm,production
2026-01-16,2026-01-16,TB03,10,67.1,0.0,304.53,2.0.0_xgboost,production
2026-01-16,2026-01-16,TB03,30,105.3,0.0,503.45,2.0.0_lightgbm,production
2026-01-16,2026-01-16,TB03,30,103.27,0.0,500.74,2.0.0_xgboost,production
2026-01-16,2026-01-16,TB03,60,128.88,0.0,652.65,2.0.0_lightgbm,production
2026-01-16,2026-01-16,TB03,60,127.31,0.0,658.42,2.0.0_xgboost,production
