timestamp,TB02_wind_speed,TB02_power,farm_total_power,TB02_power_lag1,TB02_power_lag6,TB02_power_lag144,timestamp_target,target,lightgbm_prediction,ridge_prediction,actual
2021-01-02 00:00:00,7.5,1105.7,11015.7,396.6,831.2,1552.5,2021-01-03 00:00:00,453.5,281.4494331534051,658.8268758794165,453.5
2021-01-02 00:10:00,7.4,1059.9,9440.5,1105.7,596.1,1715.5,2021-01-03 00:10:00,659.9,281.4494331534051,482.87564978574244,659.9
2021-01-02 00:20:00,7.2,953.8,8190.4000000000015,1059.9,621.1,1405.8,2021-01-03 00:20:00,667.8,281.4494331534051,525.6261446662792,667.8
2021-01-02 00:30:00,7.7,1078.3,9444.599999999999,953.8,495.9,979.3,2021-01-03 00:30:00,715.8,281.4494331534051,555.7493990427278,715.8
2021-01-02 00:40:00,7.1,863.0,9108.8,1078.3,331.1,1130.0,2021-01-03 00:40:00,785.5,281.4494331534051,534.8715606373529,785.5
2021-01-02 00:50:00,7.6,1043.0,11951.099999999999,863.0,396.6,700.7,2021-01-03 00:50:00,818.1,281.4494331534051,590.6483978556215,818.1
2021-01-02 01:00:00,8.0,1271.8,12340.899999999998,1043.0,1105.7,480.9,2021-01-03 01:00:00,738.1,281.4494331534051,567.4848689650679,738.1
2021-01-02 01:10:00,7.7,1160.4,11883.7,1271.8,1059.9,902.0,2021-01-03 01:10:00,568.9,281.4494331534051,501.00339248078524,568.9
2021-01-02 01:20:00,7.4,1082.5,10453.1,1160.4,953.8,1053.3,2021-01-03 01:20:00,612.5,281.4494331534051,521.7751224975681,612.5
2021-01-02 01:30:00,6.8,869.8,9618.3,1082.5,1078.3,1340.7,2021-01-03 01:30:00,731.4,281.4494331534051,552.0925821148793,731.4
2021-01-02 01:40:00,4.8,287.9,7568.6,869.8,863.0,1635.8,2021-01-03 01:40:00,203.8,282.8100486191209,636.5304232630824,203.8
2021-01-02 01:50:00,4.5,200.8,5288.9,287.9,1043.0,1546.9,2021-01-03 01:50:00,146.1,282.8100486191209,793.4402529620882,146.1
2021-01-02 02:00:00,4.1,137.7,2852.6,200.8,1271.8,1440.2,2021-01-03 02:00:00,182.3,278.49807770932165,836.9951060389981,182.3
2021-01-02 02:10:00,4.6,210.2,2156.0,137.7,1160.4,1272.2,2021-01-03 02:10:00,242.0,282.8100486191209,850.5522090621339,242.0
2021-01-02 02:20:00,4.8,242.1,2401.3,210.2,1082.5,1003.5,2021-01-03 02:20:00,321.8,282.8100486191209,843.2678175648721,321.8
2021-01-02 02:30:00,5.8,464.9,4333.4,242.1,869.8,1372.2,2021-01-03 02:30:00,282.0,281.4494331534051,781.4250613419033,282.0
2021-01-02 02:40:00,5.9,501.7,5047.3,464.9,287.9,1673.8,2021-01-03 02:40:00,230.3,281.4494331534051,682.2157573530249,230.3
2021-01-02 02:50:00,4.8,231.5,3554.5,501.7,200.8,1899.8,2021-01-03 02:50:00,252.5,282.8100486191209,685.1265623883733,252.5
2021-01-02 03:00:00,3.4,30.8,2181.9,231.5,137.7,1937.2,2021-01-03 03:00:00,233.9,274.50952535282903,759.6900999952235,233.9
2021-01-02 03:10:00,3.7,69.5,2885.9,30.8,210.2,1560.8,2021-01-03 03:10:00,226.5,274.50952535282903,827.3435602274535,226.5
2021-01-02 03:20:00,3.4,46.0,1798.3000000000004,69.5,242.1,1782.8,2021-01-03 03:20:00,241.2,274.50952535282903,808.7751777685647,241.2
2021-01-02 03:30:00,3.5,47.9,1560.6999999999998,46.0,464.9,1643.4,2021-01-03 03:30:00,248.2,274.50952535282903,832.8261779188624,248.2
2021-01-02 03:40:00,3.3,22.7,1368.3000000000002,47.9,501.7,1630.2,2021-01-03 03:40:00,248.8,274.50952535282903,836.9263237488299,248.8
2021-01-02 03:50:00,3.5,45.1,1372.0999999999997,22.7,231.5,1797.5,2021-01-03 03:50:00,180.9,274.50952535282903,819.1134024786181,180.9
2021-01-02 04:00:00,3.2,47.5,2080.2999999999997,45.1,30.8,1846.7,2021-01-03 04:00:00,202.4,228.54853072004656,799.5604472633661,202.4
2021-01-02 04:10:00,3.1,29.0,2273.1000000000004,47.5,69.5,1562.4,2021-01-03 04:10:00,191.2,228.54853072004656,819.0428042233468,191.2
2021-01-02 04:20:00,3.6,88.8,2668.1,29.0,46.0,903.6,2021-01-03 04:20:00,206.2,228.54853072004656,856.0536758374642,206.2
2021-01-02 04:30:00,3.5,71.1,4267.0,88.8,47.9,788.0,2021-01-03 04:30:00,277.2,228.54853072004656,849.874156003098,277.2
2021-01-02 04:40:00,5.2,320.2,6964.8,71.1,22.7,1359.3,2021-01-03 04:40:00,283.7,235.48843852062262,796.2602314780354,283.7
2021-01-02 04:50:00,6.5,590.3,9009.8,320.2,45.1,1064.8,2021-01-03 04:50:00,275.3,235.48843852062262,729.9921516490575,275.3
2021-01-02 05:00:00,6.8,758.6,9920.099999999999,590.3,47.5,630.8,2021-01-03 05:00:00,270.3,235.48843852062262,673.8146058548605,270.3
2021-01-02 05:10:00,6.3,658.8,7030.5,758.6,29.0,1287.8,2021-01-03 05:10:00,300.8,235.48843852062262,607.4348454885047,300.8
2021-01-02 05:20:00,4.9,270.1,4228.799999999999,658.8,88.8,751.9,2021-01-03 05:20:00,279.2,236.84905398633842,706.8481137055663,279.2
2021-01-02 05:30:00,4.5,187.7,3216.2000000000003,270.1,71.1,1168.3,2021-01-03 05:30:00,176.8,236.84905398633842,779.0993999190925,176.8
2021-01-02 05:40:00,4.5,190.8,2495.3999999999996,187.7,320.2,1528.5,2021-01-03 05:40:00,68.9,282.8100486191209,788.036922167689,68.9
2021-01-02 05:50:00,4.5,185.7,2727.7999999999997,190.8,590.3,1132.7,2021-01-03 05:50:00,134.1,282.8100486191209,823.1613037406876,134.1
2021-01-02 06:00:00,4.4,205.1,3052.7,185.7,758.6,1220.5,2021-01-03 06:00:00,127.2,282.8100486191209,823.4721870357207,127.2
2021-01-02 06:10:00,3.9,167.6,2579.7,205.1,658.8,1233.3,2021-01-03 06:10:00,175.7,278.49807770932165,815.8611833637945,175.7
2021-01-02 06:20:00,4.3,213.7,3242.4,167.6,270.1,1524.4,2021-01-03 06:20:00,187.1,278.49807770932165,786.0627080151514,187.1
2021-01-02 06:30:00,4.9,249.7,4466.8,213.7,187.7,1391.4,2021-01-03 06:30:00,94.4,282.8100486191209,777.8934064884877,94.4
2021-01-02 06:40:00,4.4,163.1,4513.2,249.7,190.8,1318.5,2021-01-03 06:40:00,77.8,282.8100486191209,781.9984991056765,77.8
2021-01-02 06:50:00,5.4,364.0,4950.2,163.1,185.7,1542.8,2021-01-03 06:50:00,83.6,281.4494331534051,768.7344460760426,83.6
2021-01-02 07:00:00,5.0,299.4,4933.6,364.0,205.1,1892.7,2021-01-03 07:00:00,128.1,281.4494331534051,708.9457614713277,128.1
2021-01-02 07:10:00,5.8,452.7,5234.8,299.4,167.6,1868.9,2021-01-03 07:10:00,122.2,281.4494331534051,708.65747180805,122.2
2021-01-02 07:20:00,5.5,359.8,5349.3,452.7,213.7,1971.3,2021-01-03 07:20:00,135.5,281.4494331534051,679.5489228304114,135.5
2021-01-02 07:30:00,5.3,370.4,4079.6,359.8,249.7,1824.3,2021-01-03 07:30:00,128.6,281.4494331534051,709.2939264599516,128.6
2021-01-02 07:40:00,4.9,283.5,4788.400000000001,370.4,163.1,1561.3,2021-01-03 07:40:00,143.6,282.8100486191209,726.5449841550507,143.6
2021-01-02 07:50:00,5.5,399.5,7527.1,283.5,364.0,1510.7,2021-01-03 07:50:00,81.5,281.4494331534051,745.577591986514,81.5
2021-01-02 08:00:00,5.3,406.9,8767.3,399.5,299.4,1135.0,2021-01-03 08:00:00,85.0,281.4494331534051,735.2975115976714,85.0
2021-01-02 08:10:00,5.8,458.5,9158.6,406.9,452.7,937.0,2021-01-03 08:10:00,55.9,281.4494331534051,748.3228042841032,55.9
2021-01-02 08:20:00,6.6,666.0,10741.5,458.5,359.8,1324.4,2021-01-03 08:20:00,31.6,281.4494331534051,687.2149061170193,31.6
2021-01-02 08:30:00,6.2,576.7,9179.9,666.0,370.4,1956.5,2021-01-03 08:30:00,52.0,281.4494331534051,613.0691081119284,52.0
2021-01-02 08:40:00,5.8,512.1,7318.2,576.7,283.5,1626.7,2021-01-03 08:40:00,100.9,281.4494331534051,655.8778188994461,100.9
2021-01-02 08:50:00,6.4,608.5,8426.7,512.1,399.5,1344.1,2021-01-03 08:50:00,145.5,281.4494331534051,683.1311726635499,145.5
2021-01-02 09:00:00,6.2,574.7,7087.400000000001,608.5,406.9,1846.5,2021-01-03 09:00:00,164.1,281.4494331534051,635.8855702818669,164.1
2021-01-02 09:10:00,6.0,494.0,7110.900000000001,574.7,458.5,1998.7,2021-01-03 09:10:00,305.9,281.4494331534051,645.9697547706132,305.9
2021-01-02 09:20:00,5.9,493.6,7312.5,494.0,666.0,1968.8,2021-01-03 09:20:00,502.2,281.4494331534051,674.7966317573887,502.2
2021-01-02 09:30:00,4.2,99.7,3978.6,493.6,576.7,1965.4,2021-01-03 09:30:00,472.6,278.49807770932165,712.7717671543395,472.6
2021-01-02 09:40:00,3.2,0.0,795.9999999999999,99.7,512.1,1950.7,2021-01-03 09:40:00,451.9,274.50952535282903,809.3855293570845,451.9
2021-01-02 09:50:00,3.4,3.0,553.5999999999999,0.0,608.5,1155.6,2021-01-03 09:50:00,434.6,274.50952535282903,884.1096983790972,434.6
2021-01-02 10:00:00,3.8,52.4,481.9000000000001,3.0,574.7,1508.3,2021-01-03 10:00:00,385.8,274.50952535282903,857.4140955261742,385.8
2021-01-02 10:10:00,3.0,0.0,991.1,52.4,494.0,1690.2,2021-01-03 10:10:00,457.9,274.50952535282903,833.3469844331348,457.9
2021-01-02 10:20:00,4.0,45.8,2799.7000000000003,0.0,493.6,1684.5,2021-01-03 10:20:00,517.3,278.49807770932165,844.6730082796148,517.3
2021-01-02 10:30:00,5.2,257.1,4091.2999999999997,45.8,99.7,1659.1,2021-01-03 10:30:00,612.2,235.48843852062262,797.7017607380606,612.2
2021-01-02 10:40:00,4.4,119.3,2975.2,257.1,0.0,1623.2,2021-01-03 10:40:00,597.0,236.84905398633842,760.3807562492156,597.0
2021-01-02 10:50:00,5.0,227.2,2754.0000000000005,119.3,3.0,1585.2,2021-01-03 10:50:00,548.7,235.48843852062262,784.3374421799315,548.7
2021-01-02 11:00:00,4.8,227.5,3168.8999999999996,227.2,52.4,1832.3,2021-01-03 11:00:00,465.2,236.84905398633842,745.9043548571702,465.2
2021-01-02 11:10:00,5.3,311.9,4087.7999999999997,227.5,0.0,1179.6,2021-01-03 11:10:00,544.8,235.48843852062262,773.5264629328947,544.8
2021-01-02 11:20:00,6.1,512.6,5638.5,311.9,45.8,671.3,2021-01-03 11:20:00,626.6,235.48843852062262,764.5748586694348,626.6
2021-01-02 11:30:00,7.0,726.8,8898.2,512.6,257.1,40.1,2021-01-03 11:30:00,599.2,281.4494331534051,741.4862810465896,599.2
2021-01-02 11:40:00,7.1,788.0,10898.8,726.8,119.3,1052.4,2021-01-03 11:40:00,601.7,235.48843852062262,618.565923359943,601.7
2021-01-02 11:50:00,7.7,1053.2,13645.1,788.0,227.2,874.5,2021-01-03 11:50:00,700.3,281.4494331534051,588.2199525491868,700.3
2021-01-02 12:00:00,7.6,1010.9,15248.999999999998,1053.2,227.5,794.8,2021-01-03 12:00:00,933.4,281.4494331534051,536.0297796216231,933.4
2021-01-02 12:10:00,8.7,1394.0,18095.0,1010.9,311.9,1012.5,2021-01-03 12:10:00,1107.6,281.4494331534051,493.11121722878386,1107.6
2021-01-02 12:20:00,8.7,1369.6,17046.300000000003,1394.0,512.6,1638.1,2021-01-03 12:20:00,1114.6,281.4494331534051,381.6192021134615,1114.6
2021-01-02 12:30:00,9.3,1436.4,17261.2,1369.6,726.8,1219.1,2021-01-03 12:30:00,1181.6,281.4494331534051,416.3997797165729,1181.6
2021-01-02 12:40:00,8.8,1405.8,17414.2,1436.4,788.0,1691.3,2021-01-03 12:40:00,1556.5,281.4494331534051,376.9566095513254,1556.5
2021-01-02 12:50:00,9.2,1432.4,17373.0,1405.8,1053.2,1191.9,2021-01-03 12:50:00,1676.3,281.4494331534051,424.20147995592686,1676.3
2021-01-02 13:00:00,9.4,1435.5,17462.5,1432.4,1010.9,1211.8,2021-01-03 13:00:00,1622.7,281.4494331534051,415.8040122161532,1622.7
2021-01-02 13:10:00,9.2,1530.2,17569.6,1435.5,1394.0,1036.5,2021-01-03 13:10:00,1569.9,281.4494331534051,429.3510546123829,1569.9
2021-01-02 13:20:00,9.5,1574.1,17554.0,1530.2,1369.6,1018.4,2021-01-03 13:20:00,1680.0,281.4494331534051,403.9398584688023,1680.0
2021-01-02 13:30:00,8.7,1463.2,17551.2,1574.1,1436.4,1377.4,2021-01-03 13:30:00,1778.0,281.4494331534051,385.0647834415398,1778.0
2021-01-02 13:40:00,8.8,1536.1,17752.6,1463.2,1405.8,1380.6,2021-01-03 13:40:00,1881.1,281.4494331534051,400.11335639355127,1881.1
2021-01-02 13:50:00,9.4,1660.9,17668.100000000002,1536.1,1432.4,1304.7,2021-01-03 13:50:00,1885.2,268.08688684639156,376.9870639745294,1885.2
2021-01-02 14:00:00,9.9,1751.9,18008.100000000002,1660.9,1435.5,1022.1,2021-01-03 14:00:00,1673.8,268.08688684639156,356.47267856113285,1673.8
2021-01-02 14:10:00,9.3,1713.3,19399.300000000003,1751.9,1530.2,1215.7,2021-01-03 14:10:00,1731.5,268.08688684639156,328.9711172225212,1731.5
2021-01-02 14:20:00,8.9,1600.7,17893.2,1713.3,1574.1,1687.2,2021-01-03 14:20:00,1794.6,281.4494331534051,324.8807247665987,1794.6
