model_key                   , status, target_column_not_in_X, future_timestamp_not_used, fit_only_on_train, prediction_timestamp_gt_issue, duplicated_rows, feature_leakage, target_leakage, failed_checks
ModelStatusTB01_10min_Ridge , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB01_10min_XGB   , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB01_10min_LGBM  , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB01_30min_Ridge , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB01_30min_XGB   , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB01_30min_LGBM  , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB01_1hour_Ridge , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB01_1hour_XGB   , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB01_1hour_LGBM  , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB01_6hour_Ridge , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB01_6hour_XGB   , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB01_6hour_LGBM  , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB01_24hour_Ridge, PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB01_24hour_XGB  , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB01_24hour_LGBM , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB02_10min_Ridge , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB02_10min_XGB   , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB02_10min_LGBM  , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB02_30min_Ridge , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB02_30min_XGB   , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB02_30min_LGBM  , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB02_1hour_Ridge , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB02_1hour_XGB   , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB02_1hour_LGBM  , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB02_6hour_Ridge , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB02_6hour_XGB   , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB02_6hour_LGBM  , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB02_24hour_Ridge, PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB02_24hour_XGB  , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB02_24hour_LGBM , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB03_10min_Ridge , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB03_10min_XGB   , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB03_10min_LGBM  , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB03_30min_Ridge , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB03_30min_XGB   , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB03_30min_LGBM  , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB03_1hour_Ridge , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB03_1hour_XGB   , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB03_1hour_LGBM  , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB03_6hour_Ridge , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB03_6hour_XGB   , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB03_6hour_LGBM  , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB03_24hour_Ridge, PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB03_24hour_XGB  , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB03_24hour_LGBM , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB04_10min_Ridge , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB04_10min_XGB   , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
